job_id,salary
2238,Full-time
2266,Full-time
2297,Full-time
2301,Full-time
2315,Full-time
2327,Full-time
2337,Contract
2342,Full-time
2354,Contract
2356,Full-time
2357,Full-time
2358,Full-time
2360,Full-time
2375,Full-time
2376,Full-time
2377,Full-time
2385,Full-time
2386,Full-time
2416,Full-time
2422,Full-time
2450,"Full-time, Contract"
2535,Contract
2564,Full-time
2577,Full-time
2633,Full-time
2637,Contract
2649,Full-time
2652,Full-time
2696,Full-time
2703,Full-time
2739,Full-time
2746,Full-time
2755,Full-time
2758,Full-time
2766,Full-time
2770,Full-time
2775,Full-time
2776,Full-time
2777,Full-time
2780,Full-time
2781,Full-time
2783,Full-time
2787,Full-time
2788,Full-time
2790,Full-time
2792,Full-time
2793,Full-time
2795,Full-time
2796,Full-time
2797,Full-time
2799,Full-time
2801,Full-time
2803,Full-time
2804,Full-time
2806,Full-time
2809,Full-time
2810,Full-time
2813,Full-time
2815,Full-time
2816,Full-time
2817,Full-time
2821,Contract
2822,Full-time
2823,Full-time
2825,Full-time
2826,Full-time
2827,Full-time
2833,Full-time
2834,Full-time
2837,Full-time
2839,Full-time
2844,Full-time
2845,Full-time
2846,Full-time
2856,Full-time
2857,Full-time
2858,Full-time
2859,Part-time
2860,Full-time
2864,Full-time
2865,Full-time
2866,Full-time
2868,Full-time
2869,Full-time
2870,Full-time
2872,Full-time
2873,Full-time
2877,Full-time
2879,Full-time
2880,Full-time
2882,Full-time
2887,Full-time
2888,Full-time
2889,Full-time
2891,Full-time
2892,Seasonal
2896,Full-time
2897,Full-time
2901,Full-time
2902,Full-time
2903,Full-time
2904,Full-time
2907,Contract
2909,Contract
2911,Full-time
2913,Full-time
2917,Full-time
2918,Full-time
2922,Full-time
2923,Full-time
2924,Full-time
2925,Full-time
2926,"Full-time, Contract"
2928,Full-time
2929,Full-time
2932,Full-time
2935,Full-time
2936,Full-time
2937,Full-time
2938,Full-time
2939,Full-time
2940,Full-time
2941,Full-time
2942,Full-time
2945,Full-time
2947,Full-time
2948,Full-time
2949,Full-time
2951,Full-time
2953,Full-time
2954,Full-time
2956,Full-time
2957,Contract
2963,Full-time
2964,Contract
2965,Full-time
2966,Full-time
2967,Contract
2968,Full-time
2969,Full-time
2970,Full-time
2970,Full-time
2970,Full-time
2970,Full-time
2972,Full-time
2973,Full-time
2974,Full-time
2980,Full-time
2981,Contract
2983,Full-time
2984,Full-time
2988,Full-time
2990,Full-time
2991,Full-time
2994,Full-time
2998,Full-time
3001,Full-time
3004,Full-time
3006,Full-time
3014,Full-time
3017,Full-time
3018,Full-time
3019,Full-time
3025,Full-time
3026,Full-time
3027,Full-time
3030,Full-time
